gameid;league;year;split;playoffs;patch;side;role;player;team;champion;game_duration;win;kills;deaths;assists;teamkills;dragons;barons;heralds;towers;vision;wardsplaced;controlwardsbought;gold;cs;damage;damageshare;damagetotowers;goldat10;golddiffat10;csat10;goldat15;golddiffat15;goldat20;golddiffat20;kda;gold_per_min;cs_per_min;kill_participation;source
LOLTMNT05_171038;LIT;2026;Winter;0;16,01;Blue;TOP;Diobello;GMBLERS Esports;Gnar;1756;0;7;6;1;22;NA;0;NA;NA;27;10;0;12087;189;21194;0,2267390;8005;2647;-1370;57;5857;-1439;8993;-232;1,3333333333333333;412,995444191344;6,457858769931663;0,3636363636363636;pro
LOLTMNT05_171038;LIT;2026;Winter;0;16,01;Blue;JUNGLE;Mario;GMBLERS Esports;Xin Zhao;1756;0;5;7;3;22;NA;0;NA;NA;26;3;2;11051;180;16300;0,1743820;0;3798;-67;66;5533;-296;7434;-910;1,1428571428571428;377,596810933941;6,150341685649203;0,3636363636363636;pro
LOLTMNT05_171038;LIT;2026;Winter;0;16,01;Blue;MIDDLE;DejaVu;GMBLERS Esports;Ahri;1756;0;1;6;5;22;NA;0;NA;NA;45;11;2;9943;226;15244;0,1630850;1191;3373;-411;86;5453;1;7439;-125;1,0000000000000000;339,738041002278;7,722095671981777;0,2727272727272727;pro
LOLTMNT05_171038;LIT;2026;Winter;0;16,01;Blue;BOTTOM;Rharesh;GMBLERS Esports;Corki;1756;0;8;6;5;22;NA;0;NA;NA;24;10;0;15036;266;31210;0,3338930;8271;4422;954;87;8051;2000;10664;2274;2,1666666666666665;513,758542141230;9,088838268792712;0,5909090909090909;pro
LOLTMNT05_171038;LIT;2026;Winter;0;16,01;Blue;UTILITY;Shredder;GMBLERS Esports;Leona;1756;0;1;4;14;22;NA;0;NA;NA;119;47;8;8354;26;9525;0,1019010;915;2839;356;13;4713;841;6422;1229;3,7500000000000000;285,444191343964;0,888382687927107;0,6818181818181818;pro
LOLTMNT05_171038;LIT;2026;Winter;0;16,01;Red;TOP;lobellan;EKO Esports;Zaahen;1756;1;11;4;6;29;NA;0;NA;NA;29;9;1;15098;218;35129;0,3562780;20922;4017;1370;85;7296;1439;9225;232;4,2500000000000000;515,876993166287;7,448747152619590;0,5862068965517241;pro
LOLTMNT05_171038;LIT;2026;Winter;0;16,01;Red;JUNGLE;Balyy;EKO Esports;Diana;1756;1;4;4;7;29;NA;1;NA;NA;36;5;3;12012;215;15791;0,1601520;358;3865;67;80;5829;296;8344;910;2,7500000000000000;410,432801822323;7,346241457858770;0,3793103448275862;pro
LOLTMNT05_171038;LIT;2026;Winter;0;16,01;Red;MIDDLE;Divine;EKO Esports;Mel;1756;1;7;6;7;29;NA;0;NA;NA;24;11;5;11899;232;21886;0,2219680;2945;3784;411;103;5452;-1;7564;125;2,3333333333333335;406,571753986333;7,927107061503417;0,4827586206896552;pro
LOLTMNT05_171038;LIT;2026;Winter;0;16,01;Red;BOTTOM;Toti;EKO Esports;Sivir;1756;1;7;4;12;29;NA;0;NA;NA;28;11;0;14821;229;20118;0,2040370;3980;3468;-954;65;6051;-2000;8390;-2274;4,7500000000000000;506,412300683371;7,824601366742597;0,6551724137931034;pro
LOLTMNT05_171038;LIT;2026;Winter;0;16,01;Red;UTILITY;S1D;EKO Esports;Braum;1756;1;0;4;19;29;NA;0;NA;NA;103;50;8;8319;27;5676;0,0575659;670;2483;-356;13;3872;-841;5193;-1229;4,7500000000000000;284,248291571754;0,922551252847380;0,6551724137931034;pro
LOLTMNT05_172024;LIT;2026;Winter;0;16,01;Blue;TOP;Fratellin;Deacoy;Renekton;2243;1;3;4;8;14;NA;0;NA;NA;30;8;1;14048;290;34815;0,2584920;4702;3800;866;79;5611;875;7336;317;2,7500000000000000;375,782434239857;7,757467677218012;0,7857142857142857;pro
LOLTMNT05_172024;LIT;2026;Winter;0;16,01;Blue;JUNGLE;Hamudis;Deacoy;Dr. Mundo;2243;1;4;1;4;14;NA;1;NA;NA;45;3;2;15420;293;33946;0,2520400;3907;3703;-270;85;5312;-984;7492;-879;8,0000000000000000;412,483281319661;7,837717342844405;0,5714285714285714;pro
LOLTMNT05_172024;LIT;2026;Winter;0;16,01;Blue;MIDDLE;Sharon;Deacoy;Ekko;2243;1;3;3;6;14;NA;0;NA;NA;33;6;2;14701;336;22420;0,1664620;7930;3658;360;102;5113;205;7057;220;3,0000000000000000;393,250111457869;8,987962550156041;0,6428571428571429;pro
LOLTMNT05_172024;LIT;2026;Winter;0;16,01;Blue;BOTTOM;Kyte;Deacoy;Corki;2243;1;4;1;6;14;NA;0;NA;NA;52;20;6;17255;326;38581;0,2864540;17695;3198;-163;85;5043;-960;7186;-651;10,0000000000000000;461,569326794472;8,720463664734730;0,7142857142857143;pro
LOLTMNT05_172024;LIT;2026;Winter;0;16,01;Blue;UTILITY;Fornari;Deacoy;Rell;2243;1;0;6;10;14;NA;0;NA;NA;166;57;8;9190;34;4923;0,0365520;706;2300;-91;14;3322;-396;4424;-624;1,6666666666666667;245,831475702185;0,909496210432457;0,7142857142857143;pro
LOLTMNT05_172024;LIT;2026;Winter;0;16,01;Red;TOP;Raffy;Zena Esports;Zaahen;2243;0;4;7;4;15;NA;0;NA;NA;39;13;2;12373;223;41873;0,2979580;6128;2934;-866;64;4736;-875;7019;-317;1,1428571428571428;330,976370931788;5,965225144895229;0,5333333333333333;pro
LOLTMNT05_172024;LIT;2026;Winter;0;16,01;Red;JUNGLE;Jekko;Zena Esports;Diana;2243;0;2;1;8;15;NA;0;NA;NA;31;0;0;14866;337;29132;0,2072970;1624;3973;270;86;6296;984;8371;879;10,0000000000000000;397,663843067321;9,014712438698172;0,6666666666666666;pro
LOLTMNT05_172024;LIT;2026;Winter;0;16,01;Red;MIDDLE;Sadaz;Zena Esports;Galio;2243;0;1;2;7;15;NA;0;NA;NA;40;10;2;12452;324;26943;0,1917200;917;3298;-360;92;4908;-205;6837;-220;4,0000000000000000;333,089612126616;8,666963887650468;0,5333333333333333;pro
