match_id;game_creation;game_duration;queue_id;champion;role;lane;win;kills;deaths;assists;gold;cs;vision;damage;damage_taken;wards_placed;wards_killed;champ_level;puuid;kda
EUW1_7801773010;2026-03-28T12:45:45Z;2066;420;Sion;TOP;JUNGLE;0;1;6;11;11574;219;45;21558;49773;9;9;17;3uzj5OcP70nrFowta5y54eT-1ebp0FBQZWU3S-8fM-TN0MjgPIZbh3698DnD5k4ljJFD34XRFn3_rg;2,000000000000000
EUW1_7801773010;2026-03-28T12:45:45Z;2066;420;Taliyah;JUNGLE;JUNGLE;0;9;4;7;18220;273;27;29789;21533;12;0;18;2l9JmL9_NU7Xhgwv0vpf8i9Xx0MklQcAc-dXaoVZw2UZyxKM83Y9i99BWSciazRzV_HvvNq9G2hzSw;4,000000000000000
EUW1_7801773010;2026-03-28T12:45:45Z;2066;420;Anivia;MIDDLE;MIDDLE;0;2;7;10;12371;252;35;20417;39868;13;5;18;gr3FGuDW7sCaxkkAuakhKqUc7kXjxlHIv9z8CgGm6TAlJB1J-Av_XTioT6nAp_6Ducz6iaJNN59TaQ;1,714285714285714
EUW1_7801773010;2026-03-28T12:45:45Z;2066;420;Corki;BOTTOM;BOTTOM;0;9;8;9;19058;296;38;31683;31872;12;11;17;QoY2p9TXW0MqJyJDSlr7pO3vsvNx3WLMoeQa5RsEDtv8GXTWuRg8Hzf4snmRKKHVQLSx5NvWM0Yovg;2,250000000000000
EUW1_7801773010;2026-03-28T12:45:45Z;2066;420;Alistar;UTILITY;BOTTOM;0;1;10;13;9211;28;124;5844;39167;69;9;14;BRLg6A8ZPTWMV0rjk15NJtnA-JzFQGcMmbQrDIHapfE7JvaVVL_N-Nvjd9A5sso_RiR4p8XtC0R_Vg;1,400000000000000
EUW1_7801773010;2026-03-28T12:45:45Z;2066;420;Qiyana;TOP;TOP;1;6;3;13;15896;252;34;33014;21382;5;5;18;EdyNEFNPRLbucCoFsJ7fLCGCcRKRy8aF8R8uBLSCR-E4mwwyyfxEgaHuvdghfZ8IlKeFxJHcRY07yQ;6,333333333333333
EUW1_7801773010;2026-03-28T12:45:45Z;2066;420;RekSai;JUNGLE;JUNGLE;1;11;6;12;16460;243;53;26156;48454;7;13;17;zl_lKlNtuUqTjZIgfDL0aKzLvYA7I_lk00odicmB2t5LxUdvhJhuVEUmT3rflO1nQmav9KRqqPmhHg;3,833333333333333
EUW1_7801773010;2026-03-28T12:45:45Z;2066;420;Aurora;MIDDLE;MIDDLE;1;5;5;10;13812;261;37;38031;29577;10;8;17;-S1HseSkx_KZKFu7DMXOhx7dj1SK04PeyA97MctTNmLXrEPistANoo7C8bIgVIFb8Dp0gYF4xELRmw;3,000000000000000
EUW1_7801773010;2026-03-28T12:45:45Z;2066;420;MissFortune;BOTTOM;JUNGLE;1;12;5;16;22611;387;51;53632;22215;14;13;18;Ivhktb5GXv8tUWHB9x5vaMJS7HxjLYIfC4ph6HgRCoMehburTF_1X8n2ml0vPJ8-Q9tned4sjfb6yw;5,600000000000000
EUW1_7801773010;2026-03-28T12:45:45Z;2066;420;Nautilus;UTILITY;BOTTOM;1;1;3;18;9380;22;126;12061;24173;59;13;14;RbafiUwl6UphJr4OJRyBlZlQ0jh82pLUXAtTc84zw4OBiHvPT_mF_3L7bDSMFRa0YhhA7mDIs7t34A;6,333333333333333
